#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Errors|A_Type|B_Correction|C_Comment|G_Corrected_Types|G_Problem|H_FOUND_ERR|I_Correction_Disagreement|I_Spans_Match|J_Corrected_Type|J_Types_Match


#Text=The Hawks held the Magic to a 35 percent success rate from the floor and 26 percent from three - point range , while also eliciting 15 turnovers from the Hawks ( 30 - 21 ) .
1-1	0-3	The	_	_	_	_	_	_	_	_	_	_	
1-2	4-9	Hawks	_	_	_	_	_	_	_	_	_	_	
1-3	10-14	held	_	_	_	_	_	_	_	_	_	_	
1-4	15-18	the	_	_	_	_	_	_	_	_	_	_	
1-5	19-24	Magic	_	_	_	_	_	_	_	_	_	_	
1-6	25-27	to	_	_	_	_	_	_	_	_	_	_	
1-7	28-29	a	_	_	_	_	_	_	_	_	_	_	
1-8	30-32	35	_	_	_	_	_	_	_	_	_	_	
1-9	33-40	percent	_	_	_	_	_	_	_	_	_	_	
1-10	41-48	success	_	_	_	_	_	_	_	_	_	_	
1-11	49-53	rate	_	_	_	_	_	_	_	_	_	_	
1-12	54-58	from	_	_	_	_	_	_	_	_	_	_	
1-13	59-62	the	_	_	_	_	_	_	_	_	_	_	
1-14	63-68	floor	_	_	_	_	_	_	_	_	_	_	
1-15	69-72	and	_	_	_	_	_	_	_	_	_	_	
1-16	73-75	26	_	_	_	_	_	_	_	_	_	_	
1-17	76-83	percent	_	_	_	_	_	_	_	_	_	_	
1-18	84-88	from	_	_	_	_	_	_	_	_	_	_	
1-19	89-94	three	_	_	_	_	_	_	_	_	_	_	
1-20	95-96	-	_	_	_	_	_	_	_	_	_	_	
1-21	97-102	point	_	_	_	_	_	_	_	_	_	_	
1-22	103-108	range	_	_	_	_	_	_	_	_	_	_	
1-23	109-110	,	_	_	_	_	_	_	_	_	_	_	
1-24	111-116	while	_	_	_	_	_	_	_	_	_	_	
1-25	117-121	also	_	_	_	_	_	_	_	_	_	_	
1-26	122-131	eliciting	_	_	_	_	_	_	_	_	_	_	
1-27	132-134	15	2\_NUMBER	13	*	*	T3 corrected to "eliciting 15" rather than "comitting 13"	3	true	2	*	2	
1-28	135-144	turnovers	_	_	_	_	_	_	_	_	_	_	
1-29	145-149	from	_	_	_	_	_	_	_	_	_	_	
1-30	150-153	the	_	_	_	_	_	_	_	_	_	_	
1-31	154-159	Hawks	1\_NAME	Magic	*	*	*	2	false	2	*	2	
1-32	160-161	(	_	_	_	_	_	_	_	_	_	_	
1-33	162-164	30	_	_	_	_	_	_	_	_	_	_	
1-34	165-166	-	_	_	_	_	_	_	_	_	_	_	
1-35	167-169	21	_	_	_	_	_	_	_	_	_	_	
1-36	170-171	)	_	_	_	_	_	_	_	_	_	_	
1-37	172-173	.	_	_	_	_	_	_	_	_	_	_	

#Text=Paul Millsap led the way for the Hawks with a game - high 21 points , which he supplemented with five rebounds , four assists and one steal .
2-1	174-178	Paul	_	_	_	_	_	_	_	_	_	_	
2-2	179-186	Millsap	_	_	_	_	_	_	_	_	_	_	
2-3	187-190	led	_	_	_	_	_	_	_	_	_	_	
2-4	191-194	the	_	_	_	_	_	_	_	_	_	_	
2-5	195-198	way	_	_	_	_	_	_	_	_	_	_	
2-6	199-202	for	_	_	_	_	_	_	_	_	_	_	
2-7	203-206	the	_	_	_	_	_	_	_	_	_	_	
2-8	207-212	Hawks	_	_	_	_	_	_	_	_	_	_	
2-9	213-217	with	_	_	_	_	_	_	_	_	_	_	
2-10	218-219	a	_	_	_	_	_	_	_	_	_	_	
2-11	220-224	game	_	_	_	_	_	_	_	_	_	_	
2-12	225-226	-	_	_	_	_	_	_	_	_	_	_	
2-13	227-231	high	_	_	_	_	_	_	_	_	_	_	
2-14	232-234	21	_	_	_	_	_	_	_	_	_	_	
2-15	235-241	points	_	_	_	_	_	_	_	_	_	_	
2-16	242-243	,	_	_	_	_	_	_	_	_	_	_	
2-17	244-249	which	_	_	_	_	_	_	_	_	_	_	
2-18	250-252	he	_	_	_	_	_	_	_	_	_	_	
2-19	253-265	supplemented	_	_	_	_	_	_	_	_	_	_	
2-20	266-270	with	_	_	_	_	_	_	_	_	_	_	
2-21	271-275	five	_	_	_	_	_	_	_	_	_	_	
2-22	276-284	rebounds	_	_	_	_	_	_	_	_	_	_	
2-23	285-286	,	_	_	_	_	_	_	_	_	_	_	
2-24	287-291	four	_	_	_	_	_	_	_	_	_	_	
2-25	292-299	assists	_	_	_	_	_	_	_	_	_	_	
2-26	300-303	and	_	_	_	_	_	_	_	_	_	_	
2-27	304-307	one	2\_NUMBER	zero	*	*	*	3	false	3	*	3	
2-28	308-313	steal	_	_	_	_	_	_	_	_	_	_	
2-29	314-315	.	_	_	_	_	_	_	_	_	_	_	

#Text=Millsap was right behind him with 21 points , five rebounds , four assists and one steal .
3-1	316-323	Millsap	_	_	_	_	_	_	_	_	_	_	
3-2	324-327	was	_	_	_	_	_	_	_	_	_	_	
3-3	328-333	right	_	_	_	_	_	_	_	_	_	_	
3-4	334-340	behind	_	_	_	_	_	_	_	_	_	_	
3-5	341-344	him	_	_	_	_	_	_	_	_	_	_	
3-6	345-349	with	_	_	_	_	_	_	_	_	_	_	
3-7	350-352	21	_	_	_	_	_	_	_	_	_	_	
3-8	353-359	points	_	_	_	_	_	_	_	_	_	_	
3-9	360-361	,	_	_	_	_	_	_	_	_	_	_	
3-10	362-366	five	_	_	_	_	_	_	_	_	_	_	
3-11	367-375	rebounds	_	_	_	_	_	_	_	_	_	_	
3-12	376-377	,	_	_	_	_	_	_	_	_	_	_	
3-13	378-382	four	_	_	_	_	_	_	_	_	_	_	
3-14	383-390	assists	_	_	_	_	_	_	_	_	_	_	
3-15	391-394	and	_	_	_	_	_	_	_	_	_	_	
