#FORMAT=WebAnno TSV 3.2
#T_SP=webanno.custom.Errors|A_Type|B_Correction|C_Comment|G_Corrected_Types|G_Problem|H_FOUND_ERR|I_Correction_Disagreement|I_Spans_Match|J_Corrected_Type|J_Types_Match


#Text=The Milwaukee Bucks defeated the Los Angeles Lakers , 122 - 122 , at BMO Harris Bradley Center on Tuesday .
1-1	0-3	The	_	_	_	_	_	_	_	_	_	_	
1-2	4-13	Milwaukee	_	_	_	_	_	_	_	_	_	_	
1-3	14-19	Bucks	_	_	_	_	_	_	_	_	_	_	
1-4	20-28	defeated	3\_WORD	lost to	*	*	*	3	false	3	*	3	
1-5	29-32	the	_	_	_	_	_	_	_	_	_	_	
1-6	33-36	Los	_	_	_	_	_	_	_	_	_	_	
1-7	37-44	Angeles	_	_	_	_	_	_	_	_	_	_	
1-8	45-51	Lakers	_	_	_	_	_	_	_	_	_	_	
1-9	52-53	,	_	_	_	_	_	_	_	_	_	_	
1-10	54-57	122	_	_	_	_	_	_	_	_	_	_	
1-11	58-59	-	_	_	_	_	_	_	_	_	_	_	
1-12	60-63	122	2\_NUMBER	114	*	*	One annotator transposed the scores based on the "defeated" verb	3	true	2	*	3	
1-13	64-65	,	_	_	_	_	_	_	_	_	_	_	
1-14	66-68	at	_	_	_	_	_	_	_	_	_	_	
1-15	69-72	BMO	_	_	_	_	_	_	_	_	_	_	
1-16	73-79	Harris	_	_	_	_	_	_	_	_	_	_	
1-17	80-87	Bradley	_	_	_	_	_	_	_	_	_	_	
1-18	88-94	Center	_	_	_	_	_	_	_	_	_	_	
1-19	95-97	on	_	_	_	_	_	_	_	_	_	_	
1-20	98-105	Tuesday	1\_NAME	Friday	*	*	*	3	false	3	*	3	
1-21	106-107	.	_	_	_	_	_	_	_	_	_	_	

#Text=In a battle between two struggling teams , the Bucks were able to prevail with a huge road win .
2-1	108-110	In	_	_	_	_	_	_	_	_	_	_	
2-2	111-112	a	_	_	_	_	_	_	_	_	_	_	
2-3	113-119	battle	_	_	_	_	_	_	_	_	_	_	
2-4	120-127	between	_	_	_	_	_	_	_	_	_	_	
2-5	128-131	two	_	_	_	_	_	_	_	_	_	_	
2-6	132-142	struggling	_	_	_	_	_	_	_	_	_	_	
2-7	143-148	teams	_	_	_	_	_	_	_	_	_	_	
2-8	149-150	,	_	_	_	_	_	_	_	_	_	_	
2-9	151-154	the	_	_	_	_	_	_	_	_	_	_	
2-10	155-160	Bucks	1\_NAME	Lakers	*	*	T2 changed the subsequent verb of prevail	3	true	2	*	2	
2-11	161-165	were	_	_	_	_	_	_	_	_	_	_	
2-12	166-170	able	_	_	_	_	_	_	_	_	_	_	
2-13	171-173	to	_	_	_	_	_	_	_	_	_	_	
2-14	174-181	prevail	_	_	_	_	_	_	_	_	_	_	
2-15	182-186	with	_	_	_	_	_	_	_	_	_	_	
2-16	187-188	a	_	_	_	_	_	_	_	_	_	_	
2-17	189-193	huge	_	_	_	_	_	_	_	_	_	_	
2-18	194-198	road	_	_	_	_	_	_	_	_	_	_	
2-19	199-202	win	_	_	_	_	_	_	_	_	_	_	
2-20	203-204	.	_	_	_	_	_	_	_	_	_	_	

#Text=In fact , the Bucks led for the majority of the game , as they led by double - digits for the entirety of the second half .
3-1	205-207	In	_	_	_	_	_	_	_	_	_	_	
3-2	208-212	fact	_	_	_	_	_	_	_	_	_	_	
3-3	213-214	,	_	_	_	_	_	_	_	_	_	_	
3-4	215-218	the	_	_	_	_	_	_	_	_	_	_	
3-5	219-224	Bucks	1\_NAME	Lakers	*	*	T2 changed the subsequent word of majority	3	false	2	*	2	
3-6	225-228	led	_	_	_	_	_	_	_	_	_	_	
3-7	229-232	for	_	_	_	_	_	_	_	_	_	_	
3-8	233-236	the	_	_	_	_	_	_	_	_	_	_	
3-9	237-245	majority	_	_	_	_	_	_	_	_	_	_	
3-10	246-248	of	_	_	_	_	_	_	_	_	_	_	
3-11	249-252	the	_	_	_	_	_	_	_	_	_	_	
3-12	253-257	game	_	_	_	_	_	_	_	_	_	_	
3-13	258-259	,	_	_	_	_	_	_	_	_	_	_	
3-14	260-262	as	_	_	_	_	_	_	_	_	_	_	
3-15	263-267	they	_	_	_	_	_	_	_	_	_	_	
3-16	268-271	led	_	_	_	_	_	_	_	_	_	_	
3-17	272-274	by	_	_	_	_	_	_	_	_	_	_	
3-18	275-281	double	_	_	_	_	_	_	_	_	_	_	
3-19	282-283	-	_	_	_	_	_	_	_	_	_	_	
3-20	284-290	digits	_	_	_	_	_	_	_	_	_	_	
3-21	291-294	for	_	_	_	_	_	_	_	_	_	_	
3-22	295-298	the	_	_	_	_	_	_	_	_	_	_	
3-23	299-307	entirety	3\_WORD	*	They did not lead by 10+ points for the whole 2nd half	*	T2 marked: did not lead by double-digits	3	true	2	*	3	
3-24	308-310	of	_	_	_	_	_	_	_	_	_	_	
3-25	311-314	the	_	_	_	_	_	_	_	_	_	_	
3-26	315-321	second	_	_	_	_	_	_	_	_	_	_	
3-27	322-326	half	_	_	_	_	_	_	_	_	_	_	
3-28	327-328	.	_	_	_	_	_	_	_	_	_	_	

